Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$16.62,-0.55,-3.203%,10921517154.00,United States,,27672557,Consumer Discretionary,Air Freight/Delivery Services
AAPL,Apple Inc. Common Stock,$227.65,0.27,0.119%,3419774918450.00,United States,1980,33115645,Technology,Computer Manufacturing
ABNB,Airbnb Inc. Class A Common Stock,$135.24,0.26,0.193%,85738324594.00,United States,2020,4760053,Finance,Diversified Commercial Services
ADBE,Adobe Inc. Common Stock,$451.10,18.03,4.163%,196363830000.00,United States,1986,3946729,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$204.86,-0.35,-0.171%,101671373510.00,United States,,2820450,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$306.93,0.96,0.314%,124880883188.00,United States,,902931,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$304.99,3.84,1.275%,65572850000.00,United States,,1761632,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$100.83,1.41,1.418%,53698562728.00,United States,,2473838,Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,$77.75,2.53,3.363%,24728888988.00,United States,2021,12560355,Finance,Finance: Consumer Services
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$24.63,0.15,0.613%,21813309087.00,United States,,18378,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.13,-0.005,-0.02%,22256129003.00,United States,,15115,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.70,0.00,0.00%,22760943708.00,United States,,29858,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.37,0.02,0.079%,22468682563.00,United States,,43177,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$24.95,0.01,0.04%,22096713833.00,United States,,23686,Real Estate,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,$102.10,2.46,2.469%,15338175271.00,United States,1999,3112163,Consumer Discretionary,Business Services
ALAB,Astera Labs Inc. Common Stock,$103.29,2.00,1.975%,16382915006.00,United States,2024,10839571,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,$212.03,1.48,0.703%,15828688312.00,United States,2001,932485,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$274.06,-2.13,-0.771%,35348510113.00,United States,2004,823841,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,$183.66,3.66,2.033%,149441320615.00,United States,1972,5744135,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$110.48,2.92,2.715%,179030405242.00,United States,,34905359,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$294.79,1.25,0.426%,158459271413.00,United States,1983,2375707,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMZN,Amazon.com Inc. Common Stock,$233.14,3.99,1.741%,2470754621125.00,United States,1997,35419926,Consumer Discretionary,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,$342.00,-2.86,-0.829%,29907884268.00,United States,1996,521966,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$384.40,8.68,2.31%,129001489458.00,United States,2021,4593709,Technology,Computer Software: Programming Data Processing
ARCC,Ares Capital Corporation Common Stock,$22.87,0.13,0.572%,15356784398.00,United States,2004,3206215,Finance,Finance: Consumer Services
AUR,Aurora Innovation Inc. Class A Common Stock,$7.80,0.60,8.333%,13403714103.00,United States,2021,12250434,Technology,EDP Services
AVGO,Broadcom Inc. Common Stock,$235.04,10.17,4.523%,1101716190906.00,United States,2009,23901643,Technology,Semiconductors
AXON,Axon Enterprise Inc. Common Stock,$677.85,-1.39,-0.205%,51689299912.00,United States,2001,432548,Industrials,Ordnance And Accessories
AZPN,Aspen Technology Inc. Common Stock,$265.50,-9.30,-3.384%,16808369580.00,United States,,736168,Technology,EDP Services
BIIB,Biogen Inc. Common Stock,$142.54,1.19,0.842%,20770834724.00,United States,,1523744,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKNG,Booking Holdings Inc. Common Stock,$4913.48,26.01,0.532%,162620037391.00,United States,,191860,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,$47.41,1.21,2.619%,46941202998.00,United States,,6340137,Industrials,Metal Fabrications
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$63.50,-0.43,-0.673%,12102021516.00,United States,1999,764064,Health Care,Biotechnology: Pharmaceutical Preparations
BSY,Bentley Systems Incorporated Class B Common Stock,$46.31,0.54,1.18%,13997193980.00,United States,2020,561714,Technology,Computer Software: Prepackaged Software
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,$78.77,1.27,1.639%,13715938655.00,United States,2024,6178,Health Care,Medical/Nursing Services
CART,Maplebear Inc. Common Stock,$50.32,1.11,2.256%,12926945128.00,United States,2023,2444498,Consumer Discretionary,Business Services
CASY,Casey's General Stores Inc. Common Stock,$432.17,5.35,1.253%,16041093312.00,United States,1983,332784,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CDNS,Cadence Design Systems Inc. Common Stock,$305.63,5.95,1.985%,83823000690.00,United States,,1236979,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$191.57,-0.45,-0.234%,25529396357.00,United States,2013,1280385,Consumer Discretionary,Catalog/Specialty Distribution
CEG,Constellation Energy Corporation Common Stock ,$321.83,12.04,3.887%,100657674556.00,United States,,2729799,Utilities,Electric Utilities: Central
CFLT,Confluent Inc. Class A Common Stock,$31.46,1.44,4.797%,10318719585.00,United States,2021,6404149,Technology,Computer Software: Prepackaged Software
CG,The Carlyle Group Inc. Common Stock,$51.48,-1.01,-1.924%,18413431316.00,United States,2012,3371918,Finance,Investment Managers
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$99.34,2.75,2.847%,11742504469.00,United States,1997,1300592,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$343.73,-4.11,-1.182%,48791245353.00,United States,,866950,Telecommunications,Cable & Other Pay Television Services
CINF,Cincinnati Financial Corporation Common Stock,$135.62,-1.34,-0.978%,21199454133.00,United States,,833626,Finance,Property-Casualty Insurers
CMCSA,Comcast Corporation Class A Common Stock,$34.47,0.10,0.291%,130331849056.00,United States,,26992440,Telecommunications,Cable & Other Pay Television Services
CME,CME Group Inc. Class A Common Stock,$241.81,-3.02,-1.234%,87139183824.00,United States,2002,1717221,Finance,Investment Bankers/Brokers/Service
COIN,Coinbase Global Inc. Class A Common Stock,$280.22,5.73,2.088%,70153201137.00,United States,,5521775,Finance,Finance: Consumer Services
COKE,Coca-Cola Consolidated Inc. Common Stock,$1402.42,30.85,2.249%,12286151443.00,United States,1972,34450,Consumer Staples,Beverages (Production/Distribution)
COO,The Cooper Companies Inc. Common Stock,$93.63,0.06,0.064%,18686921272.00,United States,,1130160,Health Care,Ophthalmic Goods
COST,Costco Wholesale Corporation Common Stock,$1061.92,18.11,1.735%,471385088030.00,United States,,2036894,Consumer Discretionary,Department/Specialty Retail Stores
CPB,The Campbell's Company Common Stock,$37.39,-0.14,-0.373%,11146304633.00,United States,,1822692,Consumer Staples,Packaged Foods
CPRT,Copart Inc. (DE) Common Stock,$58.63,0.42,0.722%,56491670209.00,United States,1994,3732160,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,$77.08,-0.20,-0.259%,12890787516.00,United States,2022,4311543,Technology,Semiconductors
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$428.92,7.33,1.739%,105647890835.00,United States,2019,2258831,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$62.81,0.54,0.867%,250157046311.00,United States,1990,15816237,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,$76.97,-0.28,-0.362%,31554584023.00,United States,1998,1927941,Consumer Discretionary,Business Services
CSX,CSX Corporation Common Stock,$33.08,0.49,1.504%,63792105581.00,United States,,9929040,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,$203.97,1.91,0.945%,82310855810.00,United States,1983,1530464,Consumer Discretionary,Apparel
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$86.96,0.76,0.882%,43116877650.00,United States,1998,4727723,Technology,EDP Services
DASH,DoorDash Inc. Class A Common Stock,$192.63,-2.91,-1.488%,80017777519.00,United States,,4925241,Consumer Discretionary,Business Services
DDOG,Datadog Inc. Class A Common Stock,$147.10,4.45,3.12%,49973261391.00,United States,2019,4916244,Technology,Computer Software: Prepackaged Software
DKNG,DraftKings Inc. Class A Common Stock,$42.84,0.56,1.325%,20889972339.00,United States,2019,7204570,Consumer Discretionary,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,$73.86,1.20,1.652%,15882753803.00,United States,1995,1777368,Consumer Discretionary,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,$90.86,0.38,0.42%,18355822591.00,United States,1989,1341443,Technology,Computer Software: Prepackaged Software
DPZ,Domino's Pizza Inc Common Stock,$474.94,8.20,1.757%,16400617631.00,United States,2004,451088,Consumer Discretionary,Food Distributors
DUOL,Duolingo Inc. Class A Common Stock,$401.45,7.65,1.943%,17657600809.00,United States,2021,487009,Technology,Computer Software: Prepackaged Software
DXCM,DexCom Inc. Common Stock,$88.27,0.19,0.216%,34477855075.00,United States,2005,3006767,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,$132.09,3.49,2.714%,34424977991.00,United States,,4013851,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$68.26,0.43,0.634%,32696540000.00,United States,1998,2847338,Consumer Discretionary,Business Services
ENTG,Entegris Inc. Common Stock,$106.73,0.21,0.197%,16116012378.00,United States,2000,1852359,Industrials,Plastic Products
EQIX,Equinix Inc. Common Stock REIT,$943.14,9.87,1.058%,91001868687.00,United States,2000,373720,Real Estate,Real Estate Investment Trusts
ERIE,Erie Indemnity Company Class A Common Stock,$404.43,-7.81,-1.895%,18681272832.00,United States,,98687,Finance,Specialty Insurers
EVRG,Evergy Inc. Common Stock,$65.80,0.59,0.905%,15132432052.00,United States,,1287475,Utilities,Power Generation
EWBC,East West Bancorp Inc. Common Stock,$97.80,-2.43,-2.424%,13557930185.00,United States,,971198,Finance,Major Banks
EXC,Exelon Corporation Common Stock,$41.80,0.49,1.186%,42002046779.00,United States,,7279338,Utilities,Power Generation
EXE,Expand Energy Corporation Common Stock,$105.12,2.12,2.058%,24286377230.00,United States,,2274626,Energy,Oil & Gas Production
EXEEL,Expand Energy Corporation Class C Warrants,$92.29,0.00,0.00%,21322200861.00,United States,,7,Energy,Oil & Gas Production
EXEEZ,Expand Energy Corporation Class B Warrants,$96.14,0.41,0.428%,22211684807.00,United States,,7733,Energy,Oil & Gas Production
EXPE,Expedia Group Inc. Common Stock,$203.00,0.63,0.311%,25036725266.00,United States,,3187910,Consumer Discretionary,Transportation Services
FANG,Diamondback Energy Inc. Common Stock,$161.66,3.53,2.232%,47202973102.00,United States,2012,1697545,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,$73.72,-0.12,-0.163%,42272500579.00,United States,1987,2015958,Consumer Discretionary,RETAIL: Building Materials
FCNCA,First Citizens BancShares Inc. Class A Common Stock,$2154.57,-63.83,-2.877%,30141346242.00,United States,,58313,Finance,Major Banks
FFIV,F5 Inc. Common Stock,$308.35,1.75,0.571%,17777073138.00,United States,1999,441803,Telecommunications,Computer Communications Equipment
FITB,Fifth Third Bancorp Common Stock,$43.33,-0.71,-1.612%,29054641709.00,United States,,4062401,Finance,Major Banks
FITBI,Fifth Third Bancorp Depositary Shares,$26.00,-0.03,-0.115%,17434126112.00,United States,,20195,Finance,Major Banks
FITBO,Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K,$22.65,0.41,1.844%,15187806017.00,United States,,58996,Finance,Major Banks
FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A,$24.90,0.13,0.525%,16696528469.00,United States,,4864,Finance,Major Banks
FOX,Fox Corporation Class B Common Stock,$50.35,0.25,0.499%,22830092650.00,United States,,935827,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$53.25,0.46,0.871%,24145033439.00,United States,,3312742,Industrials,Broadcasting
FSLR,First Solar Inc. Common Stock,$162.89,-5.45,-3.237%,17438633965.00,United States,2006,2587379,Technology,Semiconductors
FTAI,FTAI Aviation Ltd. Common Stock,$116.68,3.84,3.403%,11965496546.00,United States,,1725795,Industrials,Misc Corporate Leasing Services
FTNT,Fortinet Inc. Common Stock,$109.55,1.89,1.756%,83964893066.00,United States,2009,5111336,Technology,Computer peripheral equipment
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$92.00,-0.72,-0.777%,22880964972.00,United States,,43784,Industrials,Broadcasting
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$99.55,-0.48,-0.48%,24758696337.00,United States,,751676,Industrials,Broadcasting
GEHC,GE HealthCare Technologies Inc. Common Stock ,$87.50,-0.14,-0.16%,39976385663.00,United States,,2036600,Health Care,Medical Electronics
GEN,Gen Digital Inc. Common Stock,$28.12,0.49,1.773%,17330394496.00,United States,,3702128,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$37.74,-0.71,-1.847%,20890908691.00,United States,2021,4229334,Technology,Semiconductors
GILD,Gilead Sciences Inc. Common Stock,$95.48,-0.56,-0.583%,118993464026.00,United States,1992,9628211,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLPI,Gaming and Leisure Properties Inc. Common Stock,$49.08,0.00,0.00%,13467137421.00,United States,,745712,Real Estate,Real Estate Investment Trusts
GOOG,Alphabet Inc. Class C Capital Stock,$188.20,1.06,0.566%,2294158000000.00,United States,2004,16606020,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$186.47,1.13,0.61%,2273069300000.00,United States,2004,23105649,Technology,Computer Software: Programming Data Processing
GTLB,GitLab Inc. Class A Common Stock,$71.28,0.73,1.035%,11568744000.00,United States,2021,2309594,Technology,Computer Software: Prepackaged Software
HBAN,Huntington Bancshares Incorporated Common Stock,$16.73,-0.19,-1.123%,24305534588.00,United States,,17997602,Finance,Major Banks
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,$25.47,-0.03,-0.118%,37003106154.00,United States,,20594,Finance,Major Banks
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,$22.61,0.01,0.044%,32848065573.00,United States,,27480,Finance,Major Banks
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,$18.10,0.18,1.004%,26295886195.00,United States,,48969,Finance,Major Banks
HOLX,Hologic Inc. Common Stock,$65.24,0.66,1.022%,14639178287.00,United States,1990,3020067,Health Care,Medical Electronics
HON,Honeywell International Inc. Common Stock,$208.52,3.00,1.46%,135589583678.00,United States,,6628210,Industrials,Aerospace
HOOD,Robinhood Markets Inc. Class A Common Stock,$56.27,0.41,0.734%,49741312020.00,United States,2021,23555924,Finance,Investment Bankers/Brokers/Service
HST,Host Hotels & Resorts Inc. Common Stock,$16.55,-0.21,-1.253%,11568934485.00,United States,,12576581,Real Estate,Real Estate Investment Trusts
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$226.19,-4.95,-2.142%,24627358879.00,United States,2019,1741340,Finance,Investment Bankers/Brokers/Service
IDXX,IDEXX Laboratories Inc. Common Stock,$464.91,5.13,1.116%,38068999140.00,United States,1991,829940,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ILMN,Illumina Inc. Common Stock,$104.99,-6.07,-5.466%,16651414000.00,United States,2000,8530349,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,$68.30,-5.83,-7.865%,13158012007.00,United States,,3787084,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INSM,Insmed Incorporated Common Stock,$78.12,-1.83,-2.289%,13975880565.00,United States,,1623136,Health Care,Biotechnology: Pharmaceutical Preparations
INTC,Intel Corporation Common Stock,$19.77,0.67,3.508%,85604100000.00,United States,,73007266,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$586.84,7.99,1.38%,164335739400.00,United States,1993,1571453,Technology,Computer Software: Prepackaged Software
